id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
483,Social Development and Education,,Education and Youth,,,Digital Literacy Library,digital_literacy_library,www.facebook.com/safety/educators,,Facebook,Digital Public Goods Alliance,,,
640,"Digital, Data, and Technology",Health,Platform Creation,Infectious Diseases,,DIVOC,divoc,divoc.egov.org.in,https://github.com/egovernments/DIVOC,eGovernments Foundation,Digital Public Goods Alliance,,,
387,"Digital, Data, and Technology",,Data Collection,,,Driver,driver,,https://github.com/WorldBank-Transport/DRIVER,World Bank; WorldBank,Digital Public Goods Alliance,,,
538,"Digital, Data, and Technology",,Data Management and Policy,,,Drone Management System,drone_management_system,dms.prokurainnovations.com,https://github.com/prokuranepal/DMS_React,Prokura Innovations Pvt. Ltd.,Digital Public Goods Alliance,No description,"Drone Monitoring and Management System is a cloud based web application for managing and monitoring the drone network. This application is based on React and Redux. This application is a control panel for admins in central distribution center to manage the drones, their issues, the users, the inventory of medicines in the central distribution center, event logs, weather etc and monitor their location and sensor status in real time. We can also observer real time data of deliveries with their graphical representation.",
66,"Digital, Data, and Technology",,Platform Creation,,,Drools,drools,www.drools.org,github.com/kiegroup/drools,,,,,
4,"Digital, Data, and Technology",,Platform Creation,,,Drupal,drupal,www.drupal.org,github.com/drupal/drupal,,,No description,"Drupal is an open source content management platform supporting a variety of websites ranging from personal weblogs to large community-driven websites. For more information, visit the Drupal website, Drupal.org, and join the Drupal community.",
423,"Digital, Data, and Technology",,Platform Creation,,,DSpace,dspace,dspace.org,https://github.com/DSpace/DSpace,LYRASIS,Digital Public Goods Alliance,,,
140,Rural Development,"Digital, Data, and Technology",Data Collection,,,Dymaxion Labs,dymaxion_labs,www.dymaxionlabs.com,https://github.com/dymaxionlabs/ap-latam,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
121,"Digital, Data, and Technology",Health,Data Management and Policy,Infectious Diseases,,e-TB Manager,etb_manager,github.com/MSH/eTBManager3,https://github.com/MSH/eTBManager3,Management Sciences for Health,Digital Public Goods Alliance,,,
199,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,Eden,eden,,https://github.com/sahana/eden,Sahana,Digital Public Goods Alliance,,,
